Carro 1,56.65 
Carro 2,53.74 
Carro 3,49.06 
Carro 4,48.89 
Carro 5,56.01 
Carro 6,51.12 
Carro 7,52.86 
Carro 8,54.23 
Carro 9,52.39 
Carro 10,54.76 
Carro 11,16.69 
Carro 12,22.13 
Carro 13,27.55 
Carro 14,31.31 
Carro 15,35.56 
Carro 16,48.86 
Carro 17,50.03 
Carro 18,51.53 
Carro 19,48.87 
Carro 20,46.56 
Carro 21,43.53 
Carro 22,56.6 
Carro 23,51.47 
Carro 24,55.25 
Carro 25,56.96 
Carro 26,56.86 
Carro 27,19.82 
Carro 28,36.7 
Carro 29,46.37 
Carro 30,47.7 
Carro 31,47.98 
Carro 32,47.74 
Carro 33,50.88 
Carro 34,49.79 
Carro 35,53.69 
